last_name, first_name,player_id,year,Age,AB,PA,H,1B,2B,3B,HR,K,BB,K%,BB%,AVG,SLG,OBP,OPS,TB,CS,SB,GIDP,HBP,IBB,SB,SF,R,OBA
Abreu, Jose,547989,2021,34,566,659,148,86,30,2,30,143,61,21.7,9.3,0.261,0.481,0.351,0.831,272,0,1,28,22,3,0,10,86,0.354
Suarez, Eugenio,553993,2021,29,505,574,100,46,23,0,31,171,56,29.8,9.8,0.198,0.428,0.286,0.713,216,1,0,14,8,0,0,5,71,0.306
Schoop, Jonathan,570731,2021,29,623,674,173,120,30,1,22,133,37,19.7,5.5,0.278,0.435,0.320,0.755,271,0,2,15,6,0,0,8,85,0.324
Arenado, Nolan,571448,2021,30,593,653,151,80,34,3,34,96,50,14.7,7.7,0.255,0.494,0.312,0.807,293,0,2,20,3,8,0,7,81,0.336
Farmer, Kyle,571657,2021,30,483,529,127,87,22,2,16,97,22,18.3,4.2,0.263,0.416,0.316,0.732,201,3,2,16,18,1,1,5,60,0.316
Haniger, Mitch,571745,2021,30,620,691,157,93,23,2,39,169,54,24.5,7.8,0.253,0.485,0.318,0.804,301,0,1,12,9,2,0,8,110,0.340
Hernandez, Enrique,571771,2021,29,508,585,127,69,35,3,20,110,61,18.8,10.4,0.250,0.449,0.337,0.786,228,0,1,4,9,0,0,7,84,0.338
Muncy, Max,571970,2021,30,497,592,124,60,26,2,36,120,83,20.3,14.0,0.249,0.527,0.368,0.895,262,1,2,7,11,5,0,1,95,0.379
Seager, Kyle,572122,2021,33,603,670,128,63,29,1,35,161,59,24.0,8.8,0.212,0.438,0.285,0.723,264,1,3,7,4,2,0,4,73,0.308
Taylor, Michael A.,572191,2021,30,483,528,118,89,16,1,12,144,33,27.3,6.3,0.244,0.356,0.295,0.652,172,7,14,9,5,0,2,5,58,0.286
Yastrzemski, Mike,573262,2021,30,468,532,105,49,28,3,25,131,51,24.6,9.6,0.224,0.457,0.310,0.767,214,0,4,3,9,4,1,3,75,0.326
Iglesias, Jose,578428,2021,31,483,511,131,93,27,2,9,75,21,14.7,4.1,0.271,0.391,0.309,0.701,189,2,5,10,6,0,0,1,65,0.304
Bryant, Kris,592178,2021,29,513,586,136,77,32,2,25,135,62,23.0,10.6,0.265,0.481,0.353,0.835,247,2,10,9,9,4,0,2,86,0.356
Canha, Mark,592192,2021,32,519,625,120,77,22,4,17,128,77,20.5,12.3,0.231,0.387,0.358,0.746,201,2,12,9,27,0,0,2,93,0.333
Castellanos, Nick,592206,2021,29,531,585,164,91,38,1,34,121,41,20.7,7.0,0.309,0.576,0.362,0.939,306,1,3,16,7,5,0,6,95,0.391
Judge, Aaron,592450,2021,29,550,633,158,95,24,0,39,158,75,25.0,11.8,0.287,0.544,0.373,0.916,299,1,6,16,3,2,0,5,89,0.387
Machado, Manny,592518,2021,28,564,640,157,96,31,2,28,102,63,15.9,9.8,0.278,0.489,0.347,0.836,276,3,12,10,2,10,0,11,92,0.350
Realmuto, J.T.,592663,2021,30,476,537,125,79,25,4,17,129,48,24.0,8.9,0.263,0.439,0.343,0.782,209,3,13,8,11,5,0,2,64,0.336
Renfroe, Hunter,592669,2021,29,521,572,135,71,33,0,31,130,44,22.7,7.7,0.259,0.501,0.315,0.816,261,2,1,6,1,0,0,6,89,0.344
Merrifield, Whit,593160,2021,32,664,720,184,129,42,3,10,103,40,14.3,5.6,0.277,0.395,0.317,0.711,262,4,40,12,4,1,0,12,97,0.306
Bogaerts, Xander,593428,2021,28,529,603,156,98,34,1,23,113,62,18.7,10.3,0.295,0.493,0.370,0.863,261,1,5,13,5,2,0,7,90,0.368
Polanco, Jorge,593871,2021,27,588,644,158,88,35,2,33,118,45,18.3,7.0,0.269,0.503,0.323,0.826,296,6,11,4,5,0,0,6,97,0.349
Sano, Miguel,593934,2021,28,470,532,105,51,24,0,30,183,59,34.4,11.1,0.223,0.466,0.312,0.778,219,1,2,13,2,2,0,1,68,0.332
Duvall, Adam,594807,2021,32,513,555,117,60,17,2,38,174,35,31.4,6.3,0.228,0.491,0.281,0.772,252,0,5,7,4,1,0,3,67,0.324
Baez, Javier,595879,2021,28,502,547,133,82,18,2,31,184,28,33.6,5.1,0.265,0.494,0.318,0.812,248,5,18,12,13,2,0,3,80,0.344
Lindor, Francisco,596019,2021,27,452,524,104,65,16,3,20,96,58,18.3,11.1,0.230,0.412,0.319,0.730,186,4,10,7,5,4,6,3,73,0.317
Story, Trevor,596115,2021,28,526,595,132,69,34,5,24,139,53,23.4,8.9,0.251,0.471,0.329,0.801,248,6,20,7,11,2,0,5,88,0.341
